Stock,Sector,Best Heuristic,Best Equation,,,
AAPL,Technology,0.7238,Kelly,,,
ACN,Technology,1,Sortino,,,
ADBE,Technology,1,Custom,,,
AVGO,Technology,0.5007,Kelly,,,
CRM,Technology,0.4,Kelly,,,
CSCO,Technology,0.2182,Kelly,,,
IBM,Technology,0.4875,Kelly,,,
INTC,Technology,0.4356,Sortino,,,
INTU,Technology,0.8333,Kelly,,,
MSFT,Technology,0.5061,Kelly,,,
NVDA,Technology,0.4796,Sortino,,,
ORCL,Technology,0.435,Kelly,,,
TXN,Technology,0.7655,Custom,,,
QCOM,Technology,0.675,Sharpe,,,
ABBV,Healthcare,0.7566,Sortino,,,
ABT,Healthcare,1,Sortino,,,
AMGN,Healthcare,0.4145,Kelly,,,
BMY,Healthcare,0.8941,Custom,,,
CVS,Healthcare,0.5755,Custom,,,
DHR,Healthcare,0.9871,Sortino,,,
GILD,Healthcare,0.3562,Sortino,,,
JNJ,Healthcare,0.986,Custom,,,
LLY,Healthcare,1,Kelly,,,
MDT,Healthcare,0.5855,Sortino,,,
MRK,Healthcare,0.3582,Sortino,,,
PFE,Healthcare,0.7629,Custom,,,
TMO,Healthcare,0.6478,Custom,,,
UNH,Healthcare,0.7442,Sortino,,,
WBA,Healthcare,0.6766,Sharpe,,,
AMT,Physical Assets & Resources,0.8675,Custom,,,
COP,Physical Assets & Resources,0.7985,Sharpe,,,
CVX,Physical Assets & Resources,0.7081,Custom,,,
XOM,Physical Assets & Resources,0.6877,Sharpe,,,
DOW,Physical Assets & Resources,0.6524,Custom,,,
DUK,Physical Assets & Resources,0.5605,Custom,,,
EXC,Physical Assets & Resources,0.6871,Custom,,,
LIN,Physical Assets & Resources,0.866,Kelly,,,
NEE,Physical Assets & Resources,0.972,Custom,,,
SO,Physical Assets & Resources,0.5644,Sharpe,,,
SPG,Physical Assets & Resources,0.766,Sharpe,,,
AIG,Financial Services,0.982,Sharpe,,,
AXP,Financial Services,0.4772,Custom,,,
BAC,Financial Services,0.4696,Sharpe,,,
BK,Financial Services,0.486,Sharpe,,,
BLK,Financial Services,0.5111,Kelly,,,
C,Financial Services,0.3434,Kelly,,,
COF,Financial Services,0.5001,Sharpe,,,
GS,Financial Services,0.966,Custom,,,
JPM,Financial Services,0.5136,Kelly,,,
MA,Financial Services,0.6235,Kelly,,,
MET,Financial Services,0.4018,Sharpe,,,
MS,Financial Services,0.4548,Sharpe,,,
PYPL,Financial Services,0.1713,Custom,,,
USB,Financial Services,0.3321,Custom,,,
V,Financial Services,0.7645,Kelly,,,
WFC,Financial Services,0.8621,Sharpe,,,
AMZN,Consumer Cyclical,1,Sharpe,,,
BKNG,Consumer Cyclical,0.997,Custom,,,
F,Consumer Cyclical,0.1801,Sharpe,,,
GM,Consumer Cyclical,0.0163,Custom,,,
HD,Consumer Cyclical,0.4326,Kelly,,,
LOW,Consumer Cyclical,0.2018,Sharpe,,,
MCD,Consumer Cyclical,0.499,Sharpe,,,
NKE,Consumer Cyclical,0.0592,Sharpe,,,
SBUX,Consumer Cyclical,0.2312,Custom,,,
TSLA,Consumer Cyclical,0.8763,Sharpe,,,
BA,Industrials,0.7125,Kelly,,,
CAT,Industrials,0.8632,Sharpe,,,
EMR,Industrials,0.768,Sharpe,,,
FDX,Industrials,0.7459,Sharpe,,,
GD,Industrials,0.8207,Kelly,,,
GE,Industrials,0.99,Sortino,,,
HON,Industrials,0.5864,Kelly,,,
LMT,Industrials,0.985,Custom,,,
MMM,Industrials,0.6041,Sharpe,,,
UNP,Industrials,0.213,Kelly,,,
UPS,Industrials,0.859,Custom,,,
RTX,Industrials,0.6608,Kelly,,,
CHTR,Communication Services,0.2759,Sharpe,,,
CMCSA,Communication Services,0.3198,Sharpe,,,
DIS,Communication Services,0.781,Sharpe,,,
GOOG,Communication Services,1,Custom,,,
META,Communication Services,0.5055,Sharpe,,,
NFLX,Communication Services,0.44,Kelly,,,
T,Communication Services,0.765,Sharpe,,,
TMUS,Communication Services,0.677,Kelly,,,
VZ,Communication Services,0.254,Sharpe,,,Heuristics
CL,Consumer Defense,0.2132,Sharpe,,,sharpe_scores = Log_Returns / Volatility
COST,Consumer Defense,0.897,Sharpe,,,kelly_scores = (Log_Returns - Log_Returns.variance()) / Volatility
KHC,Consumer Defense,0.982,Custom,,,sortino_scores = Log_Returns / downside_standard_deviation
KO,Consumer Defense,0.8905,Sharpe,,,custom_scores = sharpe_scores * sortino_scores
MDLZ,Consumer Defense,0.0899,Sharpe,,,
MO,Consumer Defense,0.2279,Custom,,,
PEP,Consumer Defense,0.3869,Sharpe,,,
PG,Consumer Defense,0.3274,Sharpe,,,
PM,Consumer Defense,0.4024,Custom,,,
TGT,Consumer Defense,0.655,Custom,,,
WMT,Consumer Defense,0.132,SHarpe,,,
